Alecrim,0.36264564205856
Areia Preta,1.3333680842561482
Barro Vermelho,0.42665428115902143
Bom Pastor,0.6657803133873421
Candelária,0.15290297179608484
Capim Macio,0.20642912191349866
Cidade Alta,1.7055637283331275
Cidade Nova,0.4628894338304746
Cidade da Esperança,0.5093406692665341
Dix-Sept Rosado,1.5650455375101482
Felipe Camarão,0.2637005236024712
Guarapes,0.027213626535465742
Igapó,0.9408970009756791
Lagoa Azul,0.22575136225319029
Lagoa Nova,0.4677202874941478
Lagoa Seca,0.501526347181953
Mãe Luiza,0.7043973008803847
N. S. Apresentação,0.3636365176682833
N. Sra. do Nazaré,0.49362437377347856
Neópolis,0.4603026062384535
Nordeste,0.1930272449873121
Nova Descoberta,1.1188806813347425
Pajuçara,0.2623942000842308
Parque das Dunas,0.012214429121615246
Petropólis,1.1095077461495213
Pitimbu,0.17446375867931466
Planalto,0.24836808119901507
Ponta Negra,0.3395803851224712
Potengi,0.28043901890772444
Praia do Meio,2.6558340376261325
Quintas,1.1687443394205719
Redinha,0.04183914020436135
Ribeira,0.7790883508811993
Rocas,1.6895139471702523
Salinas,0.003565567151270691
Santos Reis,0.5187579912769371
Tirol,0.42890412169541614
