Alecrim,1.2728150966369065
Areia Preta,2.4000625516610667
Barro Vermelho,1.8746930535775184
Bom Pastor,0.9207600078761115
Candelária,0.8820087215184683
Capim Macio,1.41107029910734
Cidade Alta,4.284965663157919
Cidade Nova,1.052021440523806
Cidade da Esperança,1.3738794368373617
Dix-Sept Rosado,3.0965543849307933
Felipe Camarão,0.5698144181340112
Guarapes,0.1074222100084174
Igapó,3.1010628967068237
Lagoa Azul,0.6195037382761966
Lagoa Nova,2.174180995109315
Lagoa Seca,1.564762203207693
Mãe Luiza,1.075806786799133
N. S. Apresentação,1.0059812873652179
N. Sra. do Nazaré,1.1744855789782767
Neópolis,1.5673113534730811
Nordeste,0.5010494444351505
Nova Descoberta,1.142029936810634
Pajuçara,0.9039800185828684
Parque das Dunas,0.05496493104726861
Petropólis,6.5007777802563504
Pitimbu,0.9463835966094898
Planalto,0.9564813339791857
Ponta Negra,0.8307749891899621
Potengi,1.1600674170117344
Praia do Meio,2.4553937328996316
Quintas,1.8443476073556706
Redinha,0.0683372623337902
Ribeira,2.7008396163881576
Rocas,2.7292148377365613
Salinas,0.005942611918784485
Santos Reis,0.8553988154034602
Tirol,2.355568668358952
