place,kde:amenity_hospital,kde:amenity_place_of_worship,kde:amenity_police,kde:leisure_*,kde:tourism_*,kde:shop_*,kde:highway_bus_stop,kde:highway_residential,kde:highway_primary
59,-3.992029725308187,1.9211504444700953,2.4099026855552217,2.530964353723304,3.794516106531538,2.5911633376239447,2.197007269722995,1.061676618094884,2.7796987938438384
60,-4.443436062564841,1.7796222757604836,2.281781893572051,2.3133564189056735,3.7161703807214375,2.4925641879592177,2.062447913500808,0.6810758924539773,2.6606718602930464
89,-3.10965381550357,2.202092941003964,2.685344551592203,2.9477648755296126,4.046024169860702,2.8044951598659615,2.48199968353863,1.8440764963728533,2.973768711183956
90,-3.5595046629517735,2.0646663316251903,2.5632066417361243,2.7371648544108016,3.988326585843427,2.708933227739511,2.350644199061742,1.5056479149625819,2.8578632608969947
91,-4.028271632816166,1.9170796826425525,2.428712038196513,2.5078568041576172,3.8996181441562614,2.6049191673134366,2.209821030231975,1.1090390113333193,2.73573507855102
119,-2.2277445558976843,2.475727719467538,2.9515079163587328,3.350697298998446,4.270085046612183,3.013337180207504,2.76225480631863,2.5652772671458326,3.162062522135063
120,-2.675811995273864,2.3449040196191877,2.8389506549514683,3.1530394806416826,4.244506079466565,2.922809635430923,2.635673747217309,2.300826389445289,3.0489899561624405
121,-3.1450910611022533,2.201758427323897,2.710603725812041,2.9297387725949093,4.178117446634636,2.8215135825445277,2.497949172144404,1.9470531168689522,2.9290456416344703
122,-3.632485847779455,2.047052560607682,2.568528744062968,2.6864590206594787,4.075644679554716,2.711397080732283,2.3502414816320574,1.5161482309532328,2.8035300575386657
149,-1.3464808261832588,2.7367638154398755,3.2009872145699467,3.7267879317453794,4.445915217577634,3.2132975976410094,3.0344946968103237,3.16247941310365,3.343152365868473
150,-1.7924513219433513,2.6157329706696784,3.1043530951692424,3.554212889950465,4.467348817801581,3.1313275751355736,2.914997448948462,3.027346428081108,3.233832188613402
151,-2.2624754395013347,2.4813001517337083,2.987201000052894,3.343976416523649,4.440441780177246,3.0356768578897615,2.7827437579949716,2.760694938559208,3.1163487438362516
152,-2.7525932369818684,2.331021392208851,2.8506691939305573,3.1036907640842752,4.361423085097422,2.927476720875042,2.6378100145176706,2.361938537505729,2.9925661300893456
153,-3.2594241364220857,2.167550553880715,2.6993029766620062,2.844233133348279,4.239968532696335,2.8105072867028227,2.4823671876193334,1.8777492151703896,2.863705363597326
178,-0.05650998504075355,3.0924423861818244,3.486879327538929,4.146324856025112,4.452294656230921,3.4672026827017675,3.3974900450684995,3.586476909963052,3.5866759436948144
179,-0.4661827747076761,2.979963952864323,3.421869159460629,4.0479471247216186,4.551829959614174,3.400507005410315,3.2942985234086315,3.549322552965256,3.5059232963457063
180,-0.9095902417158075,2.867612256833782,3.348085690223271,3.920473150136827,4.624304887234687,3.3260000794346194,3.183254118327813,3.558535900322365,3.408005927985565
181,-1.380668188634067,2.748506415864089,3.2532387825652225,3.7414273909435902,4.659118665352978,3.243166120997227,3.0607159202053484,3.4750318797942743,3.295463118454691
182,-1.8742379973579184,2.610205857327225,3.128684975860852,3.5109849987643518,4.632326782774109,3.140795600008417,2.922169650031691,3.1732385365893165,3.1746873782808436
183,-2.3860145137195423,2.4496307740463976,2.9804803838311513,3.2501269357581304,4.532703306474294,3.02430096193671,2.7684339312283797,2.7057283175633895,3.0475923488058285
184,-2.912509088692221,2.275240408583177,2.817947838500826,2.9745215467737953,4.38453625135146,2.9001954095237714,2.604249087748853,2.1575492494804447,2.9156742740500174
208,0.8117463402161147,3.3244140397008497,3.6635607050683485,4.362073543568171,4.447927186659638,3.6378692382984177,3.637682808031993,3.8158102097902056,3.699675907994969
209,0.41256040955966755,3.207689872043604,3.608618300477582,4.278792039988106,4.580354089289782,3.576672367803951,3.539291380288514,3.7374398364441372,3.6347057595062164
210,-0.027529704249213527,3.093625178696705,3.550976749692548,4.202084198788361,4.6936930915089095,3.50687483997487,3.434007475464245,3.7766051982831588,3.556072381039476
211,-0.5000687221323195,2.984312323505206,3.4885399433245277,4.074188420628063,4.778597170657112,3.4271673172868873,3.322266406818102,3.830568235645414,3.459084994768954
212,-0.9980765901671496,2.872215030320591,3.3982674878419563,3.87739851440446,4.835638170498815,3.337764236279888,3.198588431555658,3.7226320391279852,3.346435373597277
213,-1.5159952293146612,2.7281748330205104,3.2584173428216165,3.63190940064813,4.816253293755296,3.2322899705569164,3.051629791678499,3.422500221799842,3.2233398038137935
